,States,Actual
0,AK,1268859
1,AL,10255189
2,AR,6389491
3,AZ,15848349
4,CA,80781480
5,CO,9675998
6,CT,6231695
7,DC,2610806
8,DE,1812316
9,FL,48814612
10,GA,20974425
11,GM,37184
12,HI,3305095
13,IA,4565577
14,ID,2232432
15,IL,19434403
16,IN,10896441
17,KS,4831141
18,KY,4599650
19,LA,11992226
20,MA,10661373
21,MD,13499474
22,ME,1828302
23,MI,20912055
24,MN,9299657
25,MO,13346530
26,MS,4394615
27,MT,1305646
28,NB,3427743
29,NC,20422051
30,ND,873867
31,NH,1360829
32,NJ,15012196
33,NM,4809231
34,NV,5326343
35,NY,33517391
36,OH,21611291
37,OK,8903245
38,OR,8657108
39,PA,18636680
40,PR,0
41,RI,1939385
42,SC,11881549
43,SD,945361
44,TN,14601944
45,TX,60085674
46,UT,5429204
47,VA,12540328
48,VI,16815
49,VT,802224
50,WA,16553502
51,WI,9311500
52,WV,2289099
53,WY,935080
