,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
0,8230,507,21343,27759,20494,11062,3443,973,315,83,158,1999,aggravated-assault
1,5685,313,13989,17437,11054,4415,1437,471,142,34,35,1993,aggravated-assault
2,14984,568,34177,48528,28920,20317,6723,1717,524,129,157,2004,aggravated-assault
3,19367,539,36847,66931,36911,25359,11928,3059,813,198,148,2010,aggravated-assault
4,17301,453,26863,63271,39034,24078,13962,3539,861,238,164,2013,aggravated-assault
5,2349,272,12445,15017,10910,4928,1535,525,158,30,52,1995,aggravated-assault
6,17795,162,7917,13068,9560,3535,1211,507,157,32,37,1991,aggravated-assault
7,13218,583,29330,40614,26381,15735,5151,1418,452,89,189,2001,aggravated-assault
8,18969,391,26851,65722,43976,25175,15581,4337,1026,217,177,2015,aggravated-assault
9,17675,420,26478,63741,40618,24656,14812,3924,952,240,111,2014,aggravated-assault
10,8336,254,11240,17609,12014,4725,1605,633,210,43,25,1992,aggravated-assault
11,6816,505,21802,25606,18393,9473,2803,903,306,71,159,1998,aggravated-assault
12,4628,404,18717,21848,15874,7720,2403,775,214,49,108,1997,aggravated-assault
13,18814,614,42136,59281,34415,23847,8350,2132,641,142,171,2005,aggravated-assault
14,3494,330,15409,17958,13092,6182,2027,658,195,39,48,1996,aggravated-assault
15,20358,677,43359,65424,35817,25733,9858,2389,660,181,169,2007,aggravated-assault
16,12094,589,27812,37109,25315,14575,4607,1328,420,89,195,2000,aggravated-assault
17,18524,475,31143,66626,39217,25926,14078,3536,808,194,143,2012,aggravated-assault
18,22446,431,29183,69810,51290,27585,17379,5325,1185,249,159,2017,aggravated-assault
19,19479,510,39349,66488,36237,25210,10836,2724,720,151,160,2009,aggravated-assault
20,21537,622,43853,62903,34070,24868,9008,2199,661,152,148,2006,aggravated-assault
21,12702,521,30527,43024,26287,17744,5743,1542,464,123,132,2003,aggravated-assault
22,18546,511,33124,65146,36765,24416,12576,3273,790,197,109,2011,aggravated-assault
23,19564,597,42341,65354,35050,25417,10361,2604,654,172,155,2008,aggravated-assault
24,13015,546,30952,43506,27418,17323,5550,1488,439,108,160,2002,aggravated-assault
25,21295,503,28272,69278,47965,26861,16720,4942,1131,273,113,2016,aggravated-assault
26,4534,285,14279,17103,11411,4673,1486,550,178,31,31,1994,aggravated-assault
