,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
27,62412,439,17432,19210,11497,3783,1124,419,130,13,571,1993,all-other-larceny
28,116267,1119,51387,66452,45521,31920,10333,3036,671,175,1494,2004,all-other-larceny
29,68252,1002,36993,35464,24888,12352,4729,942,290,59,553,1999,all-other-larceny
30,35720,98,4499,8399,5959,1426,501,195,50,10,25785,1991,all-other-larceny
31,94821,1049,46219,48517,33989,19846,10136,1515,417,116,287,2001,all-other-larceny
32,115467,932,44928,89929,66957,38031,23485,5327,1154,262,510,2015,all-other-larceny
33,113747,984,48458,96922,67449,39494,24349,5232,1136,257,577,2014,all-other-larceny
34,23714,229,6646,9319,6572,1717,589,233,62,20,43372,1992,all-other-larceny
35,123184,1213,59632,92011,54224,37853,18049,3872,922,217,537,2010,all-other-larceny
36,119614,1033,53253,99662,65942,41138,22930,5010,1137,255,748,2013,all-other-larceny
37,13878,455,17142,16630,11410,4082,1127,334,101,14,150,1995,all-other-larceny
38,22413,474,21708,20163,14055,5287,2223,495,162,34,201,1996,all-other-larceny
39,124527,1491,63656,80329,51033,39630,14395,3068,868,215,960,2007,all-other-larceny
40,91743,1025,46321,47112,32111,17752,6850,1497,424,100,395,2000,all-other-larceny
41,130154,958,45316,86099,72475,38931,25657,6300,1297,267,561,2017,all-other-larceny
42,126428,1221,58186,102498,63994,41600,22179,4891,1090,263,680,2012,all-other-larceny
43,53497,870,32642,29936,22452,9371,3559,745,238,40,1094,1998,all-other-larceny
44,38028,622,28246,26256,18297,7367,2698,643,170,62,667,1997,all-other-larceny
45,126373,1201,56212,76236,49835,35870,11888,3521,795,296,1027,2005,all-other-larceny
46,95065,1142,47356,50502,35375,21997,9619,1758,473,115,440,2002,all-other-larceny
47,117942,1542,43901,88607,70126,37767,24259,5731,1291,294,559,2016,all-other-larceny
48,52794,561,19344,19991,12768,4224,1193,429,120,21,88,1994,all-other-larceny
49,114255,1276,61566,83860,49414,36715,16230,3365,778,182,806,2009,all-other-larceny
50,130594,1254,61099,79715,51609,38913,14243,3573,915,218,1206,2006,all-other-larceny
51,105428,1050,47266,55126,38031,25298,8273,2844,672,142,734,2003,all-other-larceny
52,126860,1218,59719,99147,60408,41050,20034,4431,1034,251,605,2011,all-other-larceny
53,120301,1126,64610,81782,50385,38841,15860,3492,842,208,1115,2008,all-other-larceny
