,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
195,5220,57,4394,9510,7016,2404,550,113,38,6,125,1998,counterfeiting-forgery
196,2948,11,3671,6618,4476,1732,375,67,25,3,63,1997,counterfeiting-forgery
197,15407,68,8459,31312,22256,12740,3441,757,160,37,163,2005,counterfeiting-forgery
198,12497,76,7156,28021,20032,12162,3795,646,144,27,77,2007,counterfeiting-forgery
199,8208,39,6570,15608,11048,4603,1234,232,49,13,116,2000,counterfeiting-forgery
200,1084,8,2492,4095,2959,884,233,43,15,0,23,1996,counterfeiting-forgery
201,16173,36,5302,22993,20321,9957,5369,1339,251,46,86,2017,counterfeiting-forgery
202,10646,50,4886,24030,17521,9516,4033,832,205,41,62,2012,counterfeiting-forgery
203,13907,84,7942,29814,20939,13116,3766,720,157,43,135,2006,counterfeiting-forgery
204,11852,64,6285,26367,17939,11065,4116,842,168,44,47,2009,counterfeiting-forgery
205,12861,46,7045,23680,17281,9522,2211,441,99,19,93,2003,counterfeiting-forgery
206,10549,62,5137,23728,16806,9794,4021,862,189,38,55,2011,counterfeiting-forgery
207,12292,56,6831,26145,18405,11326,3858,776,140,23,61,2008,counterfeiting-forgery
208,10790,28,7205,22152,15926,7735,1904,322,92,20,92,2002,counterfeiting-forgery
209,14199,99,4830,23601,20183,9647,4986,1243,252,59,67,2016,counterfeiting-forgery
210,1647,10,1925,3266,2247,622,102,30,5,0,35,1994,counterfeiting-forgery
211,7010,50,5492,11243,8029,3427,869,120,54,7,73,1999,counterfeiting-forgery
212,1682,2,1536,3044,1747,564,120,20,3,0,55,1993,counterfeiting-forgery
213,15471,68,8270,27793,20950,11725,2861,580,112,31,163,2004,counterfeiting-forgery
214,11217,64,5346,24971,17485,10236,3930,875,168,34,46,2010,counterfeiting-forgery
215,9861,72,4371,22890,17108,9275,4212,895,188,42,77,2013,counterfeiting-forgery
216,951,3,2139,3514,2625,783,160,31,9,1,51,1995,counterfeiting-forgery
217,1607,1,444,1494,986,222,76,18,4,2,4175,1991,counterfeiting-forgery
218,10385,49,7493,20017,14473,6824,1631,297,63,16,121,2001,counterfeiting-forgery
219,11726,43,4395,22299,17617,8710,4412,981,210,52,48,2015,counterfeiting-forgery
220,1242,2,700,1521,830,256,56,14,5,0,5370,1992,counterfeiting-forgery
221,10861,63,4176,22145,16961,8809,4404,963,182,39,73,2014,counterfeiting-forgery
