,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
222,15771,43,4482,12949,7998,4418,1718,285,36,8,62,2011,credit-card-automated-teller-machine-fraud
223,14086,55,5704,12268,7018,4315,1303,226,21,12,83,2008,credit-card-automated-teller-machine-fraud
224,14899,39,5087,12864,7626,4574,1403,202,27,4,86,2009,credit-card-automated-teller-machine-fraud
225,11035,46,4455,10047,6181,3692,1036,210,51,17,78,2006,credit-card-automated-teller-machine-fraud
226,5438,21,2645,5752,4099,2178,607,153,18,2,49,2003,credit-card-automated-teller-machine-fraud
227,18873,33,4402,15998,11825,5802,2686,454,107,14,57,2016,credit-card-automated-teller-machine-fraud
228,321,0,369,675,305,67,13,5,0,1,8,1994,credit-card-automated-teller-machine-fraud
229,5154,22,2555,5392,3694,1766,477,108,13,3,52,2002,credit-card-automated-teller-machine-fraud
230,1383,19,1339,2179,1336,455,149,35,4,1,34,1998,credit-card-automated-teller-machine-fraud
231,7987,27,3579,8769,5614,3146,840,200,45,21,81,2005,credit-card-automated-teller-machine-fraud
232,952,1,1149,1671,987,341,94,11,3,0,19,1997,credit-card-automated-teller-machine-fraud
233,14522,56,4624,13851,8637,4786,1891,301,51,3,76,2012,credit-card-automated-teller-machine-fraud
234,20307,36,4720,15607,11961,5559,2849,509,76,14,49,2017,credit-card-automated-teller-machine-fraud
235,361,1,809,1084,650,208,84,10,4,0,8,1996,credit-card-automated-teller-machine-fraud
236,3119,8,2350,4022,2602,990,292,62,5,1,33,2000,credit-card-automated-teller-machine-fraud
237,12821,50,4985,11461,7032,4414,1238,181,31,7,86,2007,credit-card-automated-teller-machine-fraud
238,275,2,539,735,446,129,34,6,1,0,18,1995,credit-card-automated-teller-machine-fraud
239,15692,52,4566,12720,7644,4351,1602,216,31,6,59,2010,credit-card-automated-teller-machine-fraud
240,13617,46,4298,14348,9615,5044,2215,323,65,6,91,2013,credit-card-automated-teller-machine-fraud
241,16429,32,3843,14954,10319,5015,2366,350,43,15,48,2015,credit-card-automated-teller-machine-fraud
242,14261,35,4121,14689,10204,4899,2338,399,56,19,49,2014,credit-card-automated-teller-machine-fraud
243,249,0,147,236,133,19,10,2,0,0,618,1992,credit-card-automated-teller-machine-fraud
244,404,0,95,247,139,21,6,1,1,0,514,1991,credit-card-automated-teller-machine-fraud
245,4655,21,2556,5079,3163,1600,422,90,11,3,34,2001,credit-card-automated-teller-machine-fraud
246,1883,7,1494,2513,1632,632,172,24,9,1,38,1999,credit-card-automated-teller-machine-fraud
247,6430,32,3121,7084,4922,2843,651,210,20,6,107,2004,credit-card-automated-teller-machine-fraud
248,404,0,327,614,264,74,9,1,0,1,6,1993,credit-card-automated-teller-machine-fraud
