,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
384,29489,91,6418,25793,23944,13431,8226,2197,474,82,187,2017,false-pretenses-swindle-confidence-game
385,17517,93,6417,26262,20412,13349,6275,1515,322,78,107,2012,false-pretenses-swindle-confidence-game
386,5861,25,4210,9889,8673,4595,1473,319,67,17,145,2000,false-pretenses-swindle-confidence-game
387,16267,108,7979,25286,20045,13946,5066,1079,228,45,166,2007,false-pretenses-swindle-confidence-game
388,946,13,1278,2952,2498,1141,335,95,31,7,48,1996,false-pretenses-swindle-confidence-game
389,2972,71,2707,6412,5386,2639,818,208,51,10,108,1998,false-pretenses-swindle-confidence-game
390,17397,86,6995,23756,19885,13017,4274,1081,194,87,161,2005,false-pretenses-swindle-confidence-game
391,2066,22,2167,4902,4340,2007,552,148,51,3,107,1997,false-pretenses-swindle-confidence-game
392,27254,214,5917,27195,24634,13687,7903,2156,422,82,139,2016,false-pretenses-swindle-confidence-game
393,402,0,486,1480,1325,486,141,33,5,3,46,1994,false-pretenses-swindle-confidence-game
394,9448,44,5051,14441,12639,7548,2424,545,109,15,89,2002,false-pretenses-swindle-confidence-game
395,16544,66,6355,24729,19186,13040,5944,1432,284,57,97,2011,false-pretenses-swindle-confidence-game
396,16533,118,8279,26141,20057,14085,5419,1364,222,42,148,2008,false-pretenses-swindle-confidence-game
397,18048,91,7603,25023,19824,13981,4640,1055,264,61,205,2006,false-pretenses-swindle-confidence-game
398,15892,73,7518,24398,19210,13364,5561,1343,249,65,97,2009,false-pretenses-swindle-confidence-game
399,11511,57,5790,17045,14447,8828,2830,823,147,22,108,2003,false-pretenses-swindle-confidence-game
400,13842,69,6548,19806,17334,10915,3526,833,140,32,100,2004,false-pretenses-swindle-confidence-game
401,292,1,471,1385,1075,430,142,36,6,0,86,1993,false-pretenses-swindle-confidence-game
402,4041,34,3103,7306,6162,3519,1040,200,65,9,77,1999,false-pretenses-swindle-confidence-game
403,24357,77,5770,27366,22521,13223,7192,1911,435,91,141,2015,false-pretenses-swindle-confidence-game
404,211,0,332,1027,862,332,151,28,12,1,7773,1992,false-pretenses-swindle-confidence-game
405,21815,60,5779,26438,21561,13132,6934,1758,314,66,120,2014,false-pretenses-swindle-confidence-game
406,543,2,454,1935,1525,611,179,60,8,0,5233,1991,false-pretenses-swindle-confidence-game
407,8383,24,4891,13139,11294,6534,2023,438,121,21,120,2001,false-pretenses-swindle-confidence-game
408,539,1,931,2214,1818,778,197,60,15,0,34,1995,false-pretenses-swindle-confidence-game
409,16228,83,6634,24253,18906,13097,5772,1324,294,43,133,2010,false-pretenses-swindle-confidence-game
410,18768,85,5936,26052,20235,13090,6551,1520,280,55,156,2013,false-pretenses-swindle-confidence-game
