,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
2716,461,3,735,1469,585,373,192,53,28,13,9,2008,homicide-offenses
2717,17,0,9,88,99,58,25,6,5,1,2,2017,homicide-offenses
2718,2,0,10,68,54,44,16,14,3,0,0,2012,homicide-offenses
2719,563,4,683,1535,703,416,236,76,33,10,3,2011,homicide-offenses
2720,1,0,18,37,20,16,3,1,2,0,0,1998,homicide-offenses
2721,245,0,420,968,408,266,90,33,24,3,6,2003,homicide-offenses
2722,2,0,3,16,15,8,1,1,0,0,0,2000,homicide-offenses
2723,606,6,821,1500,644,406,163,50,15,7,4,2006,homicide-offenses
2724,0,0,7,63,46,23,9,3,1,1,0,2007,homicide-offenses
2725,1,0,1,6,10,5,0,1,0,0,0,1996,homicide-offenses
2726,6,1,35,45,30,31,11,1,4,2,0,2005,homicide-offenses
2727,516,3,763,1522,651,400,196,74,28,10,8,2009,homicide-offenses
2728,2,0,20,27,13,7,1,2,1,0,0,1997,homicide-offenses
2729,9,1,44,98,54,29,19,5,1,0,0,2012,homicide-offenses
2730,9,0,37,129,79,55,25,5,4,1,0,2017,homicide-offenses
2731,790,2,772,1952,927,476,316,115,39,16,3,2016,homicide-offenses
2732,86,0,214,325,136,74,21,8,6,0,0,1994,homicide-offenses
2733,267,1,367,892,428,232,103,29,19,9,3,2002,homicide-offenses
2734,0,0,3,3,5,3,2,1,0,0,0,1998,homicide-offenses
2735,7,1,41,68,25,16,9,2,1,0,0,2000,homicide-offenses
2736,6,1,31,67,31,26,16,4,1,1,1,2007,homicide-offenses
2737,0,0,9,30,32,10,11,3,0,0,0,2005,homicide-offenses
2738,0,0,17,22,14,6,5,0,2,1,0,1996,homicide-offenses
2739,7,0,1,12,11,5,1,0,0,0,0,1997,homicide-offenses
2740,7,0,36,80,42,28,9,5,0,0,0,2011,homicide-offenses
2741,6,3,29,58,28,24,15,3,0,0,1,2008,homicide-offenses
2742,8,0,14,89,102,58,15,8,7,2,0,2016,homicide-offenses
2743,0,0,0,7,6,0,0,1,0,0,0,1994,homicide-offenses
2744,6,1,45,74,43,19,10,3,0,1,0,2006,homicide-offenses
2745,5,0,51,84,29,26,17,8,4,1,0,2009,homicide-offenses
2746,69,1,251,328,194,84,32,15,7,4,0,1997,homicide-offenses
2747,651,7,673,1416,631,393,161,43,19,10,16,2005,homicide-offenses
2748,0,0,2,19,22,14,5,4,0,0,0,2002,homicide-offenses
2749,92,0,249,462,238,136,69,18,8,3,0,1998,homicide-offenses
2750,6,1,36,64,32,32,9,1,5,1,0,2003,homicide-offenses
2751,0,0,13,68,78,44,15,5,2,1,0,2011,homicide-offenses
