,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
480,1,0,0,0,0,0,0,0,0,0,0,2004,identity-theft
481,26,0,1,1,2,3,2,1,0,0,0,2013,identity-theft
482,5,0,0,2,5,3,1,2,0,0,0,2010,identity-theft
483,0,0,0,0,0,0,0,0,0,0,0,2001,identity-theft
484,20,0,0,4,7,8,2,1,0,0,0,2014,identity-theft
485,1187,1,51,379,342,164,80,10,2,0,0,2015,identity-theft
486,1,0,0,1,0,1,0,0,0,0,0,2005,identity-theft
487,1,0,0,0,0,0,0,0,0,0,0,2007,identity-theft
488,13,0,0,2,3,4,0,1,0,0,0,2012,identity-theft
489,8843,14,698,4124,3876,1880,1246,231,50,9,28,2017,identity-theft
490,6,0,0,0,0,0,0,0,0,0,0,2006,identity-theft
491,5,0,1,0,0,1,0,0,0,0,0,2009,identity-theft
492,4,0,0,0,1,2,0,0,0,0,0,2008,identity-theft
493,10,0,0,1,0,1,1,0,1,0,0,2011,identity-theft
494,2,0,0,0,0,0,0,0,0,0,0,2002,identity-theft
495,4673,14,358,2232,2146,1040,466,109,15,3,12,2016,identity-theft
