,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
2969,957,2,888,1078,633,296,186,38,5,2,3,2015,larceny-theft-offenses
2970,328,3,219,68,57,13,3,1,1,0,1019,1992,larceny-theft-offenses
2971,14331,629,79535,54895,37236,29178,10329,2221,585,181,145,2005,larceny-theft-offenses
2972,666,13,314,356,286,129,49,5,1,0,0,2000,larceny-theft-offenses
2973,1150,14,759,878,567,412,134,28,8,0,18,2007,larceny-theft-offenses
2974,3484,793,45756,17818,14409,7639,2408,788,433,119,74,1997,larceny-theft-offenses
2975,117,0,109,78,65,24,12,1,0,0,2,1996,larceny-theft-offenses
2976,974,4,279,475,409,265,74,23,1,0,5,2014,larceny-theft-offenses
2977,62412,439,17432,19210,11497,3783,1124,419,130,13,571,1993,larceny-theft-offenses
2978,106055,201,21644,24271,14857,5711,4588,468,61,15,351,2017,larceny-theft-offenses
2979,74558,380,22684,23940,10358,5268,2467,354,47,11,400,2012,larceny-theft-offenses
2980,1042,9,226,416,438,217,103,14,6,0,1,2015,larceny-theft-offenses
2981,310,1,99,205,119,25,4,3,3,0,522,1992,larceny-theft-offenses
2982,4909,827,47595,19770,16317,9136,2859,871,435,123,144,1998,larceny-theft-offenses
2983,23641,110,4667,3484,1342,1721,2778,58,7,2,37,2002,larceny-theft-offenses
2984,32952,353,21940,24241,15551,10300,2918,707,135,43,231,2004,larceny-theft-offenses
2985,921,6,862,1169,582,296,173,27,5,3,7,2014,larceny-theft-offenses
2986,1708,71,3072,3074,1762,562,174,49,15,0,145,1993,larceny-theft-offenses
2987,696,0,137,224,113,9,1,0,0,2,281,1991,larceny-theft-offenses
2988,2248,12,910,751,442,208,100,27,1,0,6,2001,larceny-theft-offenses
2989,9662,63,8784,3710,2010,563,876,29,8,1,69,1996,larceny-theft-offenses
2990,497,4,116,106,47,6,4,2,0,0,567,1991,larceny-theft-offenses
2991,1441,18,761,1093,841,386,311,70,7,2,14,2017,larceny-theft-offenses
2992,116267,1119,51387,66452,45521,31920,10333,3036,671,175,1494,2004,larceny-theft-offenses
2993,1100,12,801,1237,646,430,337,50,4,0,13,2012,larceny-theft-offenses
2994,897,7,595,725,365,146,39,11,3,2,6,2001,larceny-theft-offenses
2995,56327,162,17679,9696,4849,3336,1963,524,57,2,101,2000,larceny-theft-offenses
2996,19511,182,979,3055,2293,1081,709,123,24,2,56,2016,larceny-theft-offenses
2997,6600,27,2522,1378,510,145,35,7,0,0,17,1994,larceny-theft-offenses
2998,75302,290,22918,19552,8299,6603,2024,185,39,11,516,2007,larceny-theft-offenses
2999,37161,111,5059,5479,2138,2235,727,151,7,5,85,2006,larceny-theft-offenses
3000,2293,649,34795,13804,11046,5493,1684,688,357,110,29,1996,larceny-theft-offenses
3001,1130,7,529,670,442,289,84,17,10,0,1,2005,larceny-theft-offenses
3002,10196,954,63261,31060,23227,14391,4476,1296,451,140,172,2000,larceny-theft-offenses
3003,28998,35,4118,4811,2027,2265,604,146,21,4,68,2009,larceny-theft-offenses
3004,120,1,300,157,123,29,7,3,1,0,9,1995,larceny-theft-offenses
3005,232,1,143,114,91,32,6,1,1,2,6,1997,larceny-theft-offenses
3006,18358,534,93647,67507,39972,31851,11953,2332,550,155,96,2007,larceny-theft-offenses
3007,68252,1002,36993,35464,24888,12352,4729,942,290,59,553,1999,larceny-theft-offenses
3008,128,0,239,234,124,23,4,0,0,0,0,1995,larceny-theft-offenses
3009,28215,28,4927,4110,1679,1894,871,74,47,2,40,2003,larceny-theft-offenses
3010,345,5,195,213,169,85,23,6,2,0,9,1998,larceny-theft-offenses
3011,1183,5,378,473,404,251,135,12,4,1,1,2013,larceny-theft-offenses
3012,27382,34,2842,4702,2378,1386,601,96,20,4,58,2011,larceny-theft-offenses
3013,33441,133,14298,6628,3463,1110,1066,36,8,8,330,1998,larceny-theft-offenses
3014,1165,9,1326,1455,621,293,142,22,3,1,10,2010,larceny-theft-offenses
3015,69838,317,20055,18000,7672,5727,1779,906,152,102,500,2005,larceny-theft-offenses
3016,894,5,1237,1401,604,278,177,27,2,4,15,2013,larceny-theft-offenses
3017,29739,55,4842,5457,2506,2426,651,140,16,4,54,2008,larceny-theft-offenses
3018,21780,85,11035,5480,2786,811,850,23,9,6,178,1997,larceny-theft-offenses
3019,23506,250,14915,12373,8521,4394,1469,241,73,18,134,1999,larceny-theft-offenses
3020,26070,464,98122,118027,68432,44584,22838,5036,971,232,206,2012,larceny-theft-offenses
3021,45797,494,72154,121477,99121,49854,30118,7582,1296,240,177,2017,larceny-theft-offenses
3022,1608,2,411,701,426,315,101,22,3,1,5,2010,larceny-theft-offenses
3023,14158,808,72779,44651,32029,23065,7190,1688,540,148,99,2003,larceny-theft-offenses
3024,31233,202,18680,37706,26493,13871,8343,1773,322,60,131,2015,larceny-theft-offenses
3025,713,7,358,495,367,200,69,15,3,0,0,2002,larceny-theft-offenses
3026,35720,98,4499,8399,5959,1426,501,195,50,10,25785,1991,larceny-theft-offenses
3027,2499,7,757,682,497,307,59,38,2,0,42,2004,larceny-theft-offenses
3028,94821,1049,46219,48517,33989,19846,10136,1515,417,116,287,2001,larceny-theft-offenses
3029,17645,29,3461,2472,1129,1272,405,45,5,0,28,2000,larceny-theft-offenses
3030,20306,497,120603,99251,50567,37430,16381,3407,779,202,160,2009,larceny-theft-offenses
3031,86997,871,19862,24722,14401,5462,3826,459,62,8,383,2016,larceny-theft-offenses
3032,24379,77,7697,3216,1513,385,73,16,3,0,20,1994,larceny-theft-offenses
3033,4692,42,1913,2004,1265,317,105,28,5,1,7332,1992,larceny-theft-offenses
3034,29268,97,4584,5199,2275,2338,658,97,25,2,112,2007,larceny-theft-offenses
3035,17163,617,77773,54721,35635,28264,10703,2118,596,178,138,2006,larceny-theft-offenses
3036,4508,20,2466,1161,571,213,195,11,1,0,35,1996,larceny-theft-offenses
3037,1135,10,742,976,544,268,70,15,1,0,7,2004,larceny-theft-offenses
3038,30690,253,21029,40187,26110,14101,8039,1686,291,68,157,2014,larceny-theft-offenses
3039,23237,19,1012,3028,2569,1287,936,141,31,6,59,2017,larceny-theft-offenses
3040,293,1,229,356,139,14,0,0,0,0,4,1993,larceny-theft-offenses
3041,7068,29,986,1555,1041,273,78,26,5,1,4005,1991,larceny-theft-offenses
3042,22632,67,2039,4006,2273,1401,646,119,18,5,94,2012,larceny-theft-offenses
