,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
631,16020,64,13337,9422,6449,2763,909,111,22,6,116,1999,motor-vehicle-theft
632,12032,15,5793,3580,1787,529,113,26,8,0,156,1993,motor-vehicle-theft
633,31247,163,19656,19597,12574,7487,1660,382,41,19,391,2004,motor-vehicle-theft
634,28630,119,12730,21149,14158,7289,3150,495,89,13,188,2013,motor-vehicle-theft
635,31247,159,14117,18662,11167,7019,2601,403,74,15,149,2010,motor-vehicle-theft
636,2701,26,6800,3981,2429,675,152,26,11,0,39,1995,motor-vehicle-theft
637,29769,88,18751,14230,9438,4749,2373,200,23,13,87,2001,motor-vehicle-theft
638,16671,9,1566,1526,1045,278,66,33,13,1,6060,1991,motor-vehicle-theft
639,32057,128,14106,22139,15269,7515,3428,532,100,17,121,2014,motor-vehicle-theft
640,3291,5,2877,1866,1202,313,98,27,14,3,10961,1992,motor-vehicle-theft
641,38251,127,16027,24667,17457,8175,3878,541,109,15,137,2015,motor-vehicle-theft
642,8316,29,10617,6488,4319,1439,442,43,10,2,115,1997,motor-vehicle-theft
643,50743,224,22681,24222,15242,9362,2202,486,72,24,254,2005,motor-vehicle-theft
644,12161,61,12497,8292,5753,1993,576,72,17,5,202,1998,motor-vehicle-theft
645,4627,26,8244,4738,2969,963,350,52,15,3,45,1996,motor-vehicle-theft
646,37295,197,20394,23294,14292,9451,2423,364,68,14,228,2007,motor-vehicle-theft
647,26803,64,17654,12790,8519,4030,1253,169,42,4,90,2000,motor-vehicle-theft
648,31303,130,13333,20181,13220,7704,3073,447,82,20,177,2012,motor-vehicle-theft
649,53877,124,20576,31301,25056,10641,5159,775,142,34,197,2017,motor-vehicle-theft
650,31616,48,18334,16462,10654,6070,1467,371,84,5,182,2003,motor-vehicle-theft
651,30163,139,15729,18357,11167,7445,2426,337,83,11,173,2009,motor-vehicle-theft
652,52382,287,22723,24699,15259,9585,2569,451,144,64,240,2006,motor-vehicle-theft
653,34841,129,18359,20391,12557,8721,2573,374,82,11,150,2008,motor-vehicle-theft
654,31072,105,13186,19050,11992,7342,2721,426,88,21,118,2011,motor-vehicle-theft
655,29441,108,19575,15480,10026,5267,2289,244,30,9,93,2002,motor-vehicle-theft
656,44292,519,19635,29557,21880,9451,4404,695,124,27,205,2016,motor-vehicle-theft
657,9963,39,7235,3945,2103,619,147,39,5,1,27,1994,motor-vehicle-theft
