,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
826,957,2,888,1078,633,296,186,38,5,2,3,2015,purse-snatching
827,310,1,99,205,119,25,4,3,3,0,522,1992,purse-snatching
828,921,6,862,1169,582,296,173,27,5,3,7,2014,purse-snatching
829,696,0,137,224,113,9,1,0,0,2,281,1991,purse-snatching
830,897,7,595,725,365,146,39,11,3,2,6,2001,purse-snatching
831,128,0,239,234,124,23,4,0,0,0,0,1995,purse-snatching
832,1165,9,1326,1455,621,293,142,22,3,1,10,2010,purse-snatching
833,894,5,1237,1401,604,278,177,27,2,4,15,2013,purse-snatching
834,1135,10,742,976,544,268,70,15,1,0,7,2004,purse-snatching
835,293,1,229,356,139,14,0,0,0,0,4,1993,purse-snatching
836,568,7,377,369,237,112,32,8,7,3,3,1999,purse-snatching
837,1041,15,825,1217,738,309,206,35,7,8,10,2016,purse-snatching
838,203,3,252,345,139,17,3,1,0,0,0,1994,purse-snatching
839,929,11,610,767,453,168,54,4,1,0,4,2002,purse-snatching
840,1043,9,1038,1407,583,340,131,22,5,0,10,2011,purse-snatching
841,1288,7,1145,1338,604,361,122,20,2,0,9,2008,purse-snatching
842,1492,11,1157,1275,580,313,103,20,4,2,8,2006,purse-snatching
843,1185,8,1384,1439,621,320,145,21,3,3,17,2009,purse-snatching
844,913,5,676,805,433,228,43,7,3,2,8,2003,purse-snatching
845,1265,5,818,1060,704,305,235,30,13,1,12,2017,purse-snatching
846,1002,7,1047,1481,648,297,178,20,6,0,18,2012,purse-snatching
847,1332,17,1117,1360,596,343,96,23,7,0,6,2007,purse-snatching
848,806,11,408,566,300,116,38,8,3,1,8,2000,purse-snatching
849,145,3,250,263,135,31,8,2,0,0,3,1996,purse-snatching
850,472,12,325,365,210,51,38,6,1,0,10,1998,purse-snatching
851,235,1,269,335,186,47,24,2,1,0,9,1997,purse-snatching
852,1293,12,1025,1143,622,300,81,13,1,0,5,2005,purse-snatching
