,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
2807,4279,161,7985,9451,6613,3878,2320,775,184,41,70,2016,sex-offenses
2808,449,54,1158,1656,1153,400,138,38,10,0,11,1994,sex-offenses
2809,57,51,383,233,225,99,37,16,7,4,0,1995,sex-offenses
2810,259,114,791,599,471,301,145,69,24,4,3,2004,sex-offenses
2811,2301,121,5179,6009,3691,1898,634,223,54,9,32,2002,sex-offenses
2812,76,12,106,150,125,58,27,7,3,1,0,1993,sex-offenses
2813,483,218,2193,1443,1078,763,409,114,60,16,3,2010,sex-offenses
2814,1050,480,3986,2319,2596,1614,760,371,141,29,34,1999,sex-offenses
2815,484,247,2538,1588,1177,850,497,165,55,15,15,2013,sex-offenses
2816,3425,142,6789,8314,4800,3178,1339,352,78,18,48,2008,sex-offenses
2817,655,298,2648,1840,1396,888,624,184,61,13,11,2015,sex-offenses
2818,1778,720,7697,4277,3922,3018,1462,671,256,60,28,2004,sex-offenses
2819,3676,112,6775,8429,5075,3411,1637,433,121,30,34,2011,sex-offenses
2820,601,249,2583,1656,1199,846,536,174,55,11,6,2014,sex-offenses
2821,69,16,244,188,168,66,27,10,1,1,1,1992,sex-offenses
2822,106,26,175,126,133,54,14,10,0,0,0,1991,sex-offenses
2823,2383,118,5087,5918,3566,2209,757,228,55,15,22,2003,sex-offenses
2824,328,240,1706,735,682,391,149,60,20,2,9,2001,sex-offenses
2825,621,128,1461,1165,1145,635,273,144,52,16,4,1993,sex-offenses
2826,3535,129,6704,8492,4787,3070,1161,344,69,18,40,2006,sex-offenses
2827,158,53,440,325,327,173,112,35,8,2,5,1999,sex-offenses
2828,3626,135,7010,8567,4993,3243,1443,376,89,14,32,2009,sex-offenses
2829,324,74,838,746,584,373,251,118,41,10,8,2015,sex-offenses
2830,314,160,1379,978,1139,594,315,142,50,9,4,1995,sex-offenses
2831,4760,215,8621,9554,6697,3945,2618,817,180,47,101,2017,sex-offenses
2832,13,6,64,72,84,43,12,16,1,0,0,1992,sex-offenses
2833,3898,166,6809,8623,5297,3600,1845,466,140,38,42,2012,sex-offenses
2834,304,89,761,709,567,363,266,106,33,8,4,2014,sex-offenses
2835,6,5,41,51,41,11,3,3,1,0,0,1991,sex-offenses
2836,3533,132,6576,8286,4844,3144,1211,339,94,26,25,2007,sex-offenses
2837,2001,999,8610,5620,5259,3804,2596,1323,530,143,167,2013,sex-offenses
2838,1814,111,4117,4636,2908,1450,508,151,36,6,29,2000,sex-offenses
2839,399,36,1380,1762,1176,458,178,40,10,1,14,1996,sex-offenses
2840,189,153,1154,611,561,303,137,62,17,2,4,1999,sex-offenses
2841,186,61,633,547,489,244,96,29,14,3,2,2001,sex-offenses
2842,2190,839,9047,5548,5167,3963,2396,1096,417,119,26,2010,sex-offenses
2843,113,68,608,538,567,276,145,78,31,10,0,1992,sex-offenses
2844,2035,964,8753,5735,5435,3789,2947,1269,526,164,155,2014,sex-offenses
2845,383,190,1950,910,806,544,215,88,15,5,2,2004,sex-offenses
2846,2162,1086,9031,5935,5602,3968,2907,1428,546,197,177,2015,sex-offenses
2847,30,20,156,133,117,59,28,6,5,1,0,1995,sex-offenses
2848,674,59,1975,2322,1623,663,263,68,16,6,17,1997,sex-offenses
2849,3237,153,6238,7736,4634,2875,1002,289,77,14,30,2005,sex-offenses
2850,38,34,239,190,174,57,24,12,2,0,0,1993,sex-offenses
2851,244,92,761,672,511,398,190,81,21,7,2,2010,sex-offenses
2852,1424,640,5830,3196,3326,2242,1050,504,204,46,30,2001,sex-offenses
2853,261,85,685,692,560,387,249,78,36,4,2,2013,sex-offenses
2854,127,30,350,286,252,126,90,47,14,4,1,1991,sex-offenses
2855,1115,86,2862,3144,2136,979,304,95,34,1,53,1998,sex-offenses
2856,561,15,938,1534,1043,347,92,32,7,2,5,1992,sex-offenses
2857,422,87,941,759,652,437,335,101,48,11,8,2017,sex-offenses
2858,307,91,773,772,577,411,240,102,27,6,2,2012,sex-offenses
2859,3517,155,6705,8165,5300,3377,2036,544,142,19,71,2014,sex-offenses
2860,524,257,2561,1477,1144,840,481,157,49,7,4,2011,sex-offenses
2861,3944,185,7480,8818,5824,3676,2267,633,154,28,87,2015,sex-offenses
2862,464,211,2203,1211,895,654,319,116,31,4,12,2008,sex-offenses
2863,502,196,2238,1347,991,772,403,127,28,9,8,2009,sex-offenses
2864,2017,113,4730,5115,3185,1749,613,176,51,10,26,2001,sex-offenses
2865,1902,841,7967,4834,4436,3477,1734,795,291,77,30,2005,sex-offenses
2866,495,256,2305,1237,958,676,287,100,30,7,7,2006,sex-offenses
2867,541,290,2504,1461,1733,921,467,218,113,21,15,1997,sex-offenses
2868,1060,11,691,1118,811,221,83,17,8,1,6,1991,sex-offenses
2869,274,107,752,710,540,358,189,64,31,2,5,2007,sex-offenses
2870,332,235,1733,812,752,465,179,73,20,6,3,2003,sex-offenses
2871,211,77,628,540,436,281,100,53,12,0,5,2000,sex-offenses
2872,37,26,203,178,174,79,38,22,8,2,0,1996,sex-offenses
2873,801,391,3243,1891,2173,1210,645,281,113,27,25,1998,sex-offenses
2874,299,20,1017,1350,937,401,110,35,9,2,10,1995,sex-offenses
2875,631,278,2983,1823,1495,943,630,247,68,12,13,2016,sex-offenses
2876,41,32,280,213,161,83,21,3,1,0,0,1994,sex-offenses
2877,2002,1072,9213,6179,5440,4309,2784,1278,526,176,184,2012,sex-offenses
2878,2459,1126,10551,6182,6171,4319,3117,1608,644,219,160,2017,sex-offenses
2879,1457,592,5484,3014,3234,2012,1007,430,171,36,49,2000,sex-offenses
2880,3381,123,6589,8042,5260,3349,1844,491,135,37,63,2013,sex-offenses
2881,2186,855,8360,5289,4794,3858,2093,920,349,109,45,2007,sex-offenses
2882,111,46,362,300,312,170,90,29,20,4,5,1998,sex-offenses
2883,364,230,1772,1162,1222,725,348,188,78,16,10,1996,sex-offenses
2884,98,36,295,234,222,126,64,26,9,1,0,1997,sex-offenses
2885,300,219,1704,803,799,455,163,58,16,2,8,2002,sex-offenses
2886,291,85,892,767,556,344,159,72,30,3,3,2005,sex-offenses
2887,3652,136,6900,8519,5139,3435,1553,411,104,20,27,2010,sex-offenses
2888,2002,864,8180,5307,4612,3802,2037,926,382,104,50,2008,sex-offenses
2889,2967,142,5657,7068,4104,2494,852,256,64,15,28,2004,sex-offenses
2890,2044,866,8816,5674,5086,4111,2504,1131,464,111,29,2011,sex-offenses
2891,313,77,860,730,653,399,246,117,38,8,4,2016,sex-offenses
2892,54,19,106,112,118,44,26,16,4,1,0,1994,sex-offenses
2893,182,127,918,502,532,286,123,43,13,1,8,1998,sex-offenses
2894,1709,649,6510,3860,3771,2664,1283,610,271,54,22,2003,sex-offenses
2895,231,57,750,595,486,296,119,46,15,5,2,2002,sex-offenses
2896,2077,898,8387,5465,4649,3676,1924,871,303,104,49,2006,sex-offenses
2897,110,114,717,406,388,215,82,28,3,1,2,1997,sex-offenses
2898,589,23,1147,1668,1053,394,122,41,16,0,11,1993,sex-offenses
2899,415,239,2013,1030,842,654,237,99,36,4,4,2005,sex-offenses
2900,2194,832,8522,5412,4921,3793,2243,988,343,107,32,2009,sex-offenses
2901,234,71,751,690,567,365,213,80,28,6,7,2011,sex-offenses
2902,720,257,2819,1772,1525,952,668,235,62,13,13,2017,sex-offenses
2903,548,253,2603,1650,1217,823,540,170,45,24,16,2012,sex-offenses
2904,2195,1170,9693,6137,6087,4159,3107,1564,585,163,129,2016,sex-offenses
2905,468,190,1502,1103,1141,600,353,157,54,23,4,1994,sex-offenses
2906,301,77,852,739,505,357,204,60,25,8,6,2008,sex-offenses
2907,269,75,832,675,554,369,181,65,19,9,3,2006,sex-offenses
2908,1632,693,6548,3475,3631,2511,1169,579,219,50,42,2002,sex-offenses
2909,1282,89,3117,3434,2321,1081,397,127,30,7,31,1999,sex-offenses
2910,217,79,741,688,523,333,213,77,27,4,4,2009,sex-offenses
2911,70,62,523,296,304,112,72,20,7,0,3,1996,sex-offenses
2912,452,210,2134,1227,856,686,297,116,37,5,3,2007,sex-offenses
2913,274,163,1469,686,612,359,138,57,14,4,12,2000,sex-offenses
2914,210,68,659,482,420,312,132,49,15,7,1,2003,sex-offenses
