,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
988,14331,629,79535,54895,37236,29178,10329,2221,585,181,145,2005,shoplifting
989,3484,793,45756,17818,14409,7639,2408,788,433,119,74,1997,shoplifting
990,4909,827,47595,19770,16317,9136,2859,871,435,123,144,1998,shoplifting
991,2293,649,34795,13804,11046,5493,1684,688,357,110,29,1996,shoplifting
992,10196,954,63261,31060,23227,14391,4476,1296,451,140,172,2000,shoplifting
993,18358,534,93647,67507,39972,31851,11953,2332,550,155,96,2007,shoplifting
994,26070,464,98122,118027,68432,44584,22838,5036,971,232,206,2012,shoplifting
995,45797,494,72154,121477,99121,49854,30118,7582,1296,240,177,2017,shoplifting
996,14158,808,72779,44651,32029,23065,7190,1688,540,148,99,2003,shoplifting
997,20306,497,120603,99251,50567,37430,16381,3407,779,202,160,2009,shoplifting
998,17163,617,77773,54721,35635,28264,10703,2118,596,178,138,2006,shoplifting
999,18244,595,111058,80119,43330,33381,13924,2903,670,148,101,2008,shoplifting
1000,21042,443,100544,100567,55708,38445,18622,4172,857,203,121,2011,shoplifting
1001,13517,905,70989,42022,30758,20472,6359,1547,535,148,113,2002,shoplifting
1002,35758,717,74458,128296,98035,51185,29669,7428,1280,227,168,2016,shoplifting
1003,4532,660,25296,13736,11035,4405,1284,625,327,103,80,1994,shoplifting
1004,6431,813,51589,23302,18167,10993,3441,1020,495,107,105,1999,shoplifting
1005,5971,648,22806,13966,10568,4146,1360,740,402,90,200,1993,shoplifting
1006,15051,696,78444,50362,35623,26876,8865,2050,620,167,172,2004,shoplifting
1007,27244,455,91505,127291,77899,46505,25244,5595,1106,226,203,2013,shoplifting
1008,21612,473,105658,94765,50283,35874,16580,3656,776,191,108,2010,shoplifting
1009,1639,601,26500,11159,9170,4044,1203,543,337,72,46,1995,shoplifting
1010,13253,930,69872,38185,28564,18042,5498,1361,528,141,145,2001,shoplifting
1011,11640,134,6866,7008,4799,1611,564,322,134,23,9402,1991,shoplifting
1012,29971,394,89286,135539,86558,49042,27890,6403,1205,260,190,2014,shoplifting
1013,5657,395,11512,7363,5024,1974,723,419,221,49,15735,1992,shoplifting
1014,32280,433,85830,138141,95321,51333,29541,7243,1225,251,84,2015,shoplifting
