,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
1042,57,51,383,233,225,99,37,16,7,4,0,1995,sodomy
1043,483,218,2193,1443,1078,763,409,114,60,16,3,2010,sodomy
1044,484,247,2538,1588,1177,850,497,165,55,15,15,2013,sodomy
1045,655,298,2648,1840,1396,888,624,184,61,13,11,2015,sodomy
1046,601,249,2583,1656,1199,846,536,174,55,11,6,2014,sodomy
1047,69,16,244,188,168,66,27,10,1,1,1,1992,sodomy
1048,106,26,175,126,133,54,14,10,0,0,0,1991,sodomy
1049,328,240,1706,735,682,391,149,60,20,2,9,2001,sodomy
1050,189,153,1154,611,561,303,137,62,17,2,4,1999,sodomy
1051,383,190,1950,910,806,544,215,88,15,5,2,2004,sodomy
1052,38,34,239,190,174,57,24,12,2,0,0,1993,sodomy
1053,524,257,2561,1477,1144,840,481,157,49,7,4,2011,sodomy
1054,464,211,2203,1211,895,654,319,116,31,4,12,2008,sodomy
1055,502,196,2238,1347,991,772,403,127,28,9,8,2009,sodomy
1056,495,256,2305,1237,958,676,287,100,30,7,7,2006,sodomy
1057,332,235,1733,812,752,465,179,73,20,6,3,2003,sodomy
1058,631,278,2983,1823,1495,943,630,247,68,12,13,2016,sodomy
1059,41,32,280,213,161,83,21,3,1,0,0,1994,sodomy
1060,300,219,1704,803,799,455,163,58,16,2,8,2002,sodomy
1061,182,127,918,502,532,286,123,43,13,1,8,1998,sodomy
1062,110,114,717,406,388,215,82,28,3,1,2,1997,sodomy
1063,415,239,2013,1030,842,654,237,99,36,4,4,2005,sodomy
1064,720,257,2819,1772,1525,952,668,235,62,13,13,2017,sodomy
1065,548,253,2603,1650,1217,823,540,170,45,24,16,2012,sodomy
1066,70,62,523,296,304,112,72,20,7,0,3,1996,sodomy
1067,452,210,2134,1227,856,686,297,116,37,5,3,2007,sodomy
1068,274,163,1469,686,612,359,138,57,14,4,12,2000,sodomy
