,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
1069,2,0,0,0,3,1,0,0,0,0,0,1999,sports-tampering
1070,0,0,1,0,0,0,0,0,0,0,0,2004,sports-tampering
1071,0,0,21,4,4,3,3,3,0,0,0,2013,sports-tampering
1072,0,0,0,0,0,4,0,0,0,0,1,2001,sports-tampering
1073,1,0,2,1,0,0,4,0,0,0,0,2014,sports-tampering
1074,0,0,17,4,2,0,1,0,0,0,0,2015,sports-tampering
1075,0,0,0,0,0,0,0,0,0,0,0,2005,sports-tampering
1076,0,0,0,0,1,0,0,0,0,0,0,1998,sports-tampering
1077,0,0,0,0,2,3,0,0,0,0,0,2007,sports-tampering
1078,0,0,0,0,0,2,0,0,0,0,0,2000,sports-tampering
1079,0,0,8,2,0,1,1,0,1,0,0,2012,sports-tampering
1080,0,0,0,3,1,4,2,8,0,0,0,2017,sports-tampering
1081,0,0,0,0,0,1,0,0,0,0,0,2009,sports-tampering
1082,0,0,1,0,1,1,1,0,0,0,0,2006,sports-tampering
1083,0,0,4,1,0,1,0,0,0,0,0,2008,sports-tampering
1084,0,0,4,2,3,6,2,0,0,0,0,2011,sports-tampering
1085,0,0,0,0,0,0,0,0,1,0,0,2002,sports-tampering
1086,2,0,8,1,1,1,0,0,0,0,0,2016,sports-tampering
1087,2,0,2,1,0,0,0,0,0,0,0,1994,sports-tampering
