,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
1088,94,9,842,747,202,61,27,11,4,1,3,1999,statutory-rape
1089,219,32,1957,1673,480,203,79,26,12,0,7,2004,statutory-rape
1090,9,2,317,234,76,24,4,1,2,0,1,1993,statutory-rape
1091,13,4,355,325,71,27,8,1,2,0,0,1995,statutory-rape
1092,155,35,2202,1870,544,264,103,42,17,1,14,2013,statutory-rape
1093,261,29,2579,2066,603,300,106,41,18,5,5,2010,statutory-rape
1094,20,2,242,177,44,14,2,4,1,0,0,1992,statutory-rape
1095,183,24,2069,1819,562,243,127,39,8,2,0,2014,statutory-rape
1096,193,23,2046,1775,571,280,98,33,16,2,3,2015,statutory-rape
1097,107,4,1231,1257,293,123,22,11,3,0,8,2001,statutory-rape
1098,37,0,123,105,20,7,1,1,0,0,0,1991,statutory-rape
1099,26,4,556,419,111,34,14,2,0,0,2,1997,statutory-rape
1100,230,40,2236,1860,550,246,87,28,13,1,3,2005,statutory-rape
1101,43,5,711,600,150,40,21,3,1,1,3,1998,statutory-rape
1102,164,30,1980,1476,508,263,120,46,17,5,3,2017,statutory-rape
1103,225,39,2554,2018,638,308,155,40,10,3,48,2012,statutory-rape
1104,290,35,2448,2017,536,252,92,40,12,1,10,2007,statutory-rape
1105,96,7,1009,1072,255,74,34,12,4,1,8,2000,statutory-rape
1106,23,4,506,394,89,32,9,2,1,0,1,1996,statutory-rape
1107,299,30,2562,1925,578,304,91,30,7,3,4,2008,statutory-rape
1108,275,29,2616,2011,601,322,112,45,12,5,3,2011,statutory-rape
1109,140,22,1565,1470,389,146,62,14,7,2,2,2003,statutory-rape
1110,245,45,2375,2032,556,270,84,25,4,1,4,2006,statutory-rape
1111,319,42,2769,2137,601,295,117,45,5,2,6,2009,statutory-rape
1112,187,23,1953,1622,527,233,109,49,13,4,0,2016,statutory-rape
1113,19,1,325,279,70,21,8,4,0,2,0,1994,statutory-rape
1114,116,9,1406,1335,332,143,44,18,4,0,7,2002,statutory-rape
