,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
1115,1601,41,12030,12030,6299,4274,1323,234,45,6,13,2008,stolen-property-offenses
1116,1398,18,10940,15705,8295,4658,1856,351,45,7,12,2011,stolen-property-offenses
1117,1660,18,8829,7912,4561,2612,565,118,13,2,9,2003,stolen-property-offenses
1118,2363,21,10672,11487,6609,4269,1117,189,60,7,9,2006,stolen-property-offenses
1119,1588,26,12245,13237,6635,4361,1422,298,56,7,12,2009,stolen-property-offenses
1120,2419,32,12465,21292,15032,6379,2638,454,74,16,14,2016,stolen-property-offenses
1121,152,7,1695,898,521,165,46,8,2,0,0,1994,stolen-property-offenses
1122,1497,14,8285,7195,3957,2134,473,117,16,8,11,2002,stolen-property-offenses
1123,3355,56,10592,11698,6603,4173,957,207,37,8,22,2005,stolen-property-offenses
1124,682,27,4432,2570,1502,581,116,24,5,1,6,1997,stolen-property-offenses
1125,853,19,5284,3524,2066,915,208,52,13,2,15,1998,stolen-property-offenses
1126,2832,21,11799,21696,16618,7171,3053,560,95,9,14,2017,stolen-property-offenses
1127,1624,29,10939,17913,9791,5328,2048,386,61,8,8,2012,stolen-property-offenses
1128,1054,22,6494,4608,2699,1419,283,66,12,2,34,2000,stolen-property-offenses
1129,1606,37,11568,12287,6812,4539,1333,223,42,7,17,2007,stolen-property-offenses
1130,617,19,3110,1697,936,333,75,18,6,1,6,1996,stolen-property-offenses
1131,285,13,2331,1264,758,236,48,15,2,0,3,1995,stolen-property-offenses
1132,1510,28,10006,18441,10892,5362,2171,377,67,2,16,2013,stolen-property-offenses
1133,1464,26,11399,14291,7403,4470,1554,315,52,11,14,2010,stolen-property-offenses
1134,195,1,554,320,158,51,9,4,4,1,1096,1992,stolen-property-offenses
1135,1583,18,10053,18438,11359,5371,2250,447,60,13,11,2014,stolen-property-offenses
1136,1761,34,10582,18536,12353,5547,2393,462,67,4,8,2015,stolen-property-offenses
1137,1437,31,7872,6151,3393,1726,402,91,14,2,20,2001,stolen-property-offenses
1138,136,0,474,364,220,78,23,9,4,1,631,1991,stolen-property-offenses
1139,902,28,5332,3710,2178,1024,280,46,14,4,12,1999,stolen-property-offenses
1140,1980,47,9906,10351,5807,3444,859,152,27,4,16,2004,stolen-property-offenses
1141,115,5,1289,612,327,113,25,8,1,0,16,1993,stolen-property-offenses
