,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
1169,328,3,219,68,57,13,3,1,1,0,1019,1992,theft-from-coin-operated-machine-or-device
1170,974,4,279,475,409,265,74,23,1,0,5,2014,theft-from-coin-operated-machine-or-device
1171,1042,9,226,416,438,217,103,14,6,0,1,2015,theft-from-coin-operated-machine-or-device
1172,2248,12,910,751,442,208,100,27,1,0,6,2001,theft-from-coin-operated-machine-or-device
1173,497,4,116,106,47,6,4,2,0,0,567,1991,theft-from-coin-operated-machine-or-device
1174,120,1,300,157,123,29,7,3,1,0,9,1995,theft-from-coin-operated-machine-or-device
1175,1183,5,378,473,404,251,135,12,4,1,1,2013,theft-from-coin-operated-machine-or-device
1176,1608,2,411,701,426,315,101,22,3,1,5,2010,theft-from-coin-operated-machine-or-device
1177,2499,7,757,682,497,307,59,38,2,0,42,2004,theft-from-coin-operated-machine-or-device
1178,659,5,451,254,105,41,16,4,2,0,6,1993,theft-from-coin-operated-machine-or-device
1179,1259,8,582,497,245,129,57,15,1,0,6,1999,theft-from-coin-operated-machine-or-device
1180,943,10,216,360,414,343,87,29,6,1,3,2016,theft-from-coin-operated-machine-or-device
1181,483,2,362,241,108,36,9,3,1,0,0,1994,theft-from-coin-operated-machine-or-device
1182,2493,11,882,691,390,254,95,30,3,0,3,2002,theft-from-coin-operated-machine-or-device
1183,1718,17,543,582,385,300,102,23,10,2,1,2008,theft-from-coin-operated-machine-or-device
1184,1973,13,435,628,462,356,129,21,6,2,7,2011,theft-from-coin-operated-machine-or-device
1185,2523,7,769,683,417,280,61,30,3,0,28,2003,theft-from-coin-operated-machine-or-device
1186,2362,10,608,746,499,315,111,25,4,0,14,2006,theft-from-coin-operated-machine-or-device
1187,1628,8,504,634,366,257,104,25,2,1,6,2009,theft-from-coin-operated-machine-or-device
1188,1184,8,243,456,460,279,126,21,4,0,2,2017,theft-from-coin-operated-machine-or-device
1189,1983,10,505,674,463,314,158,25,6,2,8,2012,theft-from-coin-operated-machine-or-device
1190,1822,9,522,760,484,346,96,16,3,0,18,2007,theft-from-coin-operated-machine-or-device
1191,1876,18,782,484,321,184,67,15,3,0,2,2000,theft-from-coin-operated-machine-or-device
1192,237,4,320,229,109,43,24,5,1,0,1,1996,theft-from-coin-operated-machine-or-device
1193,712,2,476,282,199,75,18,9,3,0,14,1997,theft-from-coin-operated-machine-or-device
1194,2179,16,599,762,508,288,92,33,6,2,39,2005,theft-from-coin-operated-machine-or-device
1195,997,9,546,287,194,72,35,6,2,0,20,1998,theft-from-coin-operated-machine-or-device
