,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
1196,106055,201,21644,24271,14857,5711,4588,468,61,15,351,2017,theft-from-motor-vehicle
1197,74558,380,22684,23940,10358,5268,2467,354,47,11,400,2012,theft-from-motor-vehicle
1198,9662,63,8784,3710,2010,563,876,29,8,1,69,1996,theft-from-motor-vehicle
1199,56327,162,17679,9696,4849,3336,1963,524,57,2,101,2000,theft-from-motor-vehicle
1200,75302,290,22918,19552,8299,6603,2024,185,39,11,516,2007,theft-from-motor-vehicle
1201,33441,133,14298,6628,3463,1110,1066,36,8,8,330,1998,theft-from-motor-vehicle
1202,69838,317,20055,18000,7672,5727,1779,906,152,102,500,2005,theft-from-motor-vehicle
1203,21780,85,11035,5480,2786,811,850,23,9,6,178,1997,theft-from-motor-vehicle
1204,86997,871,19862,24722,14401,5462,3826,459,62,8,383,2016,theft-from-motor-vehicle
1205,24379,77,7697,3216,1513,385,73,16,3,0,20,1994,theft-from-motor-vehicle
1206,63592,306,19950,13028,5680,3957,3163,595,22,5,234,2002,theft-from-motor-vehicle
1207,77668,243,25678,23559,9562,5091,2320,375,48,15,468,2011,theft-from-motor-vehicle
1208,77190,255,26511,19677,8212,6891,2119,185,36,21,497,2008,theft-from-motor-vehicle
1209,83957,348,27634,23742,9400,7363,2675,219,46,15,465,2009,theft-from-motor-vehicle
1210,78244,325,21615,19420,7754,5970,2302,900,170,53,560,2006,theft-from-motor-vehicle
1211,64226,180,19340,13330,6202,4018,1433,1315,89,4,405,2003,theft-from-motor-vehicle
1212,61185,245,19000,15584,6983,5015,1431,1068,21,26,828,2004,theft-from-motor-vehicle
1213,27993,61,6664,3312,1572,298,74,13,1,1,213,1993,theft-from-motor-vehicle
1214,40945,158,14293,7586,3545,2066,1691,54,18,7,130,1999,theft-from-motor-vehicle
1215,76235,267,18662,22534,12408,4916,3426,360,46,8,241,2015,theft-from-motor-vehicle
1216,66283,261,18449,22227,10845,4798,3207,393,59,15,286,2014,theft-from-motor-vehicle
1217,15092,31,3001,1906,1147,220,43,31,5,0,14701,1992,theft-from-motor-vehicle
1218,25001,19,1638,1535,922,184,40,26,15,1,8435,1991,theft-from-motor-vehicle
1219,60345,180,18803,11584,5219,3710,3356,523,19,19,88,2001,theft-from-motor-vehicle
1220,5733,63,6910,2730,1306,396,73,14,1,1,69,1995,theft-from-motor-vehicle
1221,84187,360,26853,23953,8825,5115,2512,327,43,13,411,2010,theft-from-motor-vehicle
1222,67340,275,19157,23419,11286,4853,3081,340,55,17,459,2013,theft-from-motor-vehicle
1250,106055,201,21644,24271,14857,5711,4588,468,61,15,351,2017,theft-from-motor-vehicle
1251,74558,380,22684,23940,10358,5268,2467,354,47,11,400,2012,theft-from-motor-vehicle
1252,9662,63,8784,3710,2010,563,876,29,8,1,69,1996,theft-from-motor-vehicle
1253,56327,162,17679,9696,4849,3336,1963,524,57,2,101,2000,theft-from-motor-vehicle
1254,75302,290,22918,19552,8299,6603,2024,185,39,11,516,2007,theft-from-motor-vehicle
1255,33441,133,14298,6628,3463,1110,1066,36,8,8,330,1998,theft-from-motor-vehicle
1256,69838,317,20055,18000,7672,5727,1779,906,152,102,500,2005,theft-from-motor-vehicle
1257,21780,85,11035,5480,2786,811,850,23,9,6,178,1997,theft-from-motor-vehicle
1258,86997,871,19862,24722,14401,5462,3826,459,62,8,383,2016,theft-from-motor-vehicle
1259,24379,77,7697,3216,1513,385,73,16,3,0,20,1994,theft-from-motor-vehicle
1260,63592,306,19950,13028,5680,3957,3163,595,22,5,234,2002,theft-from-motor-vehicle
1261,77668,243,25678,23559,9562,5091,2320,375,48,15,468,2011,theft-from-motor-vehicle
1262,77190,255,26511,19677,8212,6891,2119,185,36,21,497,2008,theft-from-motor-vehicle
1263,83957,348,27634,23742,9400,7363,2675,219,46,15,465,2009,theft-from-motor-vehicle
1264,78244,325,21615,19420,7754,5970,2302,900,170,53,560,2006,theft-from-motor-vehicle
1265,64226,180,19340,13330,6202,4018,1433,1315,89,4,405,2003,theft-from-motor-vehicle
1266,61185,245,19000,15584,6983,5015,1431,1068,21,26,828,2004,theft-from-motor-vehicle
1267,27993,61,6664,3312,1572,298,74,13,1,1,213,1993,theft-from-motor-vehicle
1268,40945,158,14293,7586,3545,2066,1691,54,18,7,130,1999,theft-from-motor-vehicle
1269,76235,267,18662,22534,12408,4916,3426,360,46,8,241,2015,theft-from-motor-vehicle
1270,66283,261,18449,22227,10845,4798,3207,393,59,15,286,2014,theft-from-motor-vehicle
1271,15092,31,3001,1906,1147,220,43,31,5,0,14701,1992,theft-from-motor-vehicle
1272,25001,19,1638,1535,922,184,40,26,15,1,8435,1991,theft-from-motor-vehicle
1273,60345,180,18803,11584,5219,3710,3356,523,19,19,88,2001,theft-from-motor-vehicle
1274,5733,63,6910,2730,1306,396,73,14,1,1,69,1995,theft-from-motor-vehicle
1275,84187,360,26853,23953,8825,5115,2512,327,43,13,411,2010,theft-from-motor-vehicle
1276,67340,275,19157,23419,11286,4853,3081,340,55,17,459,2013,theft-from-motor-vehicle
