,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
1223,23641,110,4667,3484,1342,1721,2778,58,7,2,37,2002,theft-of-motor-vehicle-parts-or-accessories
1224,19511,182,979,3055,2293,1081,709,123,24,2,56,2016,theft-of-motor-vehicle-parts-or-accessories
1225,6600,27,2522,1378,510,145,35,7,0,0,17,1994,theft-of-motor-vehicle-parts-or-accessories
1226,37161,111,5059,5479,2138,2235,727,151,7,5,85,2006,theft-of-motor-vehicle-parts-or-accessories
1227,28998,35,4118,4811,2027,2265,604,146,21,4,68,2009,theft-of-motor-vehicle-parts-or-accessories
1228,28215,28,4927,4110,1679,1894,871,74,47,2,40,2003,theft-of-motor-vehicle-parts-or-accessories
1229,27382,34,2842,4702,2378,1386,601,96,20,4,58,2011,theft-of-motor-vehicle-parts-or-accessories
1230,29739,55,4842,5457,2506,2426,651,140,16,4,54,2008,theft-of-motor-vehicle-parts-or-accessories
1231,17645,29,3461,2472,1129,1272,405,45,5,0,28,2000,theft-of-motor-vehicle-parts-or-accessories
1232,29268,97,4584,5199,2275,2338,658,97,25,2,112,2007,theft-of-motor-vehicle-parts-or-accessories
1233,4508,20,2466,1161,571,213,195,11,1,0,35,1996,theft-of-motor-vehicle-parts-or-accessories
1234,23237,19,1012,3028,2569,1287,936,141,31,6,59,2017,theft-of-motor-vehicle-parts-or-accessories
1235,22632,67,2039,4006,2273,1401,646,119,18,5,94,2012,theft-of-motor-vehicle-parts-or-accessories
1236,8290,40,2465,1358,676,273,126,15,2,0,88,1998,theft-of-motor-vehicle-parts-or-accessories
1237,35250,39,5163,5282,2051,2250,654,126,14,15,66,2005,theft-of-motor-vehicle-parts-or-accessories
1238,6433,32,2192,1450,622,219,133,20,3,0,52,1997,theft-of-motor-vehicle-parts-or-accessories
1239,5506,3,853,530,269,52,11,4,1,0,7626,1991,theft-of-motor-vehicle-parts-or-accessories
1240,19747,33,3822,2847,1146,1476,2206,56,8,5,16,2001,theft-of-motor-vehicle-parts-or-accessories
1241,17653,27,1036,3001,2268,1029,672,109,18,3,31,2015,theft-of-motor-vehicle-parts-or-accessories
1242,3998,34,1584,738,332,58,24,3,2,0,14411,1992,theft-of-motor-vehicle-parts-or-accessories
1243,16833,43,1246,3119,2152,1152,712,125,32,8,41,2014,theft-of-motor-vehicle-parts-or-accessories
1244,32547,69,3274,5023,2264,1478,587,107,15,8,66,2010,theft-of-motor-vehicle-parts-or-accessories
1245,17945,39,1506,3574,2313,1264,668,107,18,3,82,2013,theft-of-motor-vehicle-parts-or-accessories
1246,2325,21,2330,1044,454,152,30,6,5,0,30,1995,theft-of-motor-vehicle-parts-or-accessories
1247,8340,24,2692,1232,514,134,35,14,0,2,270,1993,theft-of-motor-vehicle-parts-or-accessories
1248,26829,79,4778,4612,1832,2056,575,103,11,5,135,2004,theft-of-motor-vehicle-parts-or-accessories
1249,11538,26,2500,1735,711,501,314,12,7,0,45,1999,theft-of-motor-vehicle-parts-or-accessories
