,Year,Females,Males,Unknown_Sex,Offense,unknown_age,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99
3339,2015,903,2696,489,all-offenses,957,2,888,1078,633,296,186,38,5,2,3
3340,1999,2684,26107,667,all-offenses,1368,154,10290,8666,4633,2840,1029,315,98,22,43
3341,1992,1048,365,299,all-offenses,328,3,219,68,57,13,3,1,1,0,1019
3342,1992,9,32,6,all-offenses,13,0,7,15,5,2,3,1,0,0,1
3343,1999,39,111,7,all-offenses,8,0,8,29,35,23,33,14,7,0,0
3344,2008,417,3254,250,all-offenses,461,3,735,1469,585,373,192,53,28,13,9
3345,2005,95249,130110,3906,all-offenses,14331,629,79535,54895,37236,29178,10329,2221,585,181,145
3346,2003,0,1,0,all-offenses,0,0,0,0,0,1,0,0,0,0,0
3347,1996,1002,14003,582,all-offenses,2491,29,4406,5707,2256,504,121,15,5,1,52
3348,2000,434,977,408,all-offenses,666,13,314,356,286,129,49,5,1,0,0
3349,2002,155,73,11,all-offenses,25,0,5,90,66,41,10,2,0,0,0
3350,1991,710,858,7,all-offenses,20,0,158,471,355,81,15,4,1,0,470
3351,2010,113025,414109,3414,all-offenses,7171,105,130627,211749,96449,55861,24036,3994,457,44,55
3352,2017,27,283,0,all-offenses,17,0,9,88,99,58,25,6,5,1,2
3353,1996,1922,1808,84,all-offenses,239,0,862,1487,774,322,94,29,4,0,3
3354,2017,33774,60060,16498,all-offenses,29489,91,6418,25793,23944,13431,8226,2197,474,82,187
3355,2008,7367,29475,1054,all-offenses,1601,41,12030,12030,6299,4274,1323,234,45,6,13
3356,2016,79,645,5,all-offenses,6,16,233,99,145,128,54,33,9,6,0
3357,1994,14,143,4,all-offenses,11,10,36,24,42,23,5,3,1,0,6
3358,1999,1073,2448,213,all-offenses,449,0,608,1283,891,381,93,18,3,2,6
3359,2014,1,0,0,all-offenses,0,0,0,1,0,0,0,0,0,0,0
3360,2012,31574,51765,9008,all-offenses,17517,93,6417,26262,20412,13349,6275,1515,322,78,107
3361,1996,308,1858,33,all-offenses,226,1,278,835,557,220,62,16,1,0,3
3362,2007,1074,2227,667,all-offenses,1150,14,759,878,567,412,134,28,8,0,18
3363,1999,1,3,2,all-offenses,2,0,0,0,3,1,0,0,0,0,0
3364,2012,12,199,0,all-offenses,2,0,10,68,54,44,16,14,3,0,0
3365,1997,35840,56797,1084,all-offenses,3484,793,45756,17818,14409,7639,2408,788,433,119,74
3366,1999,6311,29158,13750,all-offenses,16020,64,13337,9422,6449,2763,909,111,22,6,116
3367,2012,36537,190594,106913,all-offenses,123243,970,56025,79229,40061,21535,10333,1487,280,71,810
3368,1996,115,216,77,all-offenses,117,0,109,78,65,24,12,1,0,0,2
3369,2000,2990,39852,2603,all-offenses,11522,79,10880,14952,5439,1854,554,69,10,2,84
3370,2007,2188,13867,280,all-offenses,1700,17,2018,6024,3621,2097,659,140,39,8,12
3371,2014,341,951,125,all-offenses,295,1,161,338,279,186,116,28,9,0,4
3372,2014,316,1358,835,all-offenses,974,4,279,475,409,265,74,23,1,0,5
3373,2016,1138,33460,1159,all-offenses,4279,161,7985,9451,6613,3878,2320,775,184,41,70
3374,1994,90,4958,19,all-offenses,449,54,1158,1656,1153,400,138,38,10,0,11
3375,2007,12148,11039,539,all-offenses,1416,13,4034,8741,4970,3209,1063,243,24,5,8
3376,1998,10980,15355,3098,all-offenses,5220,57,4394,9510,7016,2404,550,113,38,6,125
3377,2017,35921,152432,91430,all-offenses,106735,697,36285,57885,44191,19642,11512,1872,331,61,572
3378,2017,23,63,2,all-offenses,4,0,5,28,24,16,8,3,0,0,0
3379,2017,76,502,8,all-offenses,14,0,80,200,106,82,57,31,14,2,0
3380,1993,14515,47931,54584,all-offenses,62412,439,17432,19210,11497,3783,1124,419,130,13,571
3381,1998,78,150,54,all-offenses,79,1,45,60,53,26,11,2,0,0,5
3382,2017,12937,67150,98135,all-offenses,106055,201,21644,24271,14857,5711,4588,468,61,15,351
3383,2007,8779,106168,4052,all-offenses,27282,213,32327,39118,12173,6053,1437,139,17,12,228
3384,2000,1121,6805,191,all-offenses,958,7,1134,2904,1913,863,228,76,16,4,14
3385,2012,10250,60815,69402,all-offenses,74558,380,22684,23940,10358,5268,2467,354,47,11,400
3386,2000,8236,8179,455,all-offenses,1265,7,4039,5829,3406,1663,513,95,13,0,40
3387,2011,14538,20048,13184,all-offenses,15771,43,4482,12949,7998,4418,1718,285,36,8,62
3388,2008,65533,160103,6945,all-offenses,23324,532,41927,63658,46669,36187,14647,4038,1101,234,264
3389,2012,178,682,3,all-offenses,11,0,216,216,128,132,99,49,11,0,1
3390,2001,32,84,8,all-offenses,15,0,17,36,25,18,9,4,0,0,0
3391,2015,320,1298,854,all-offenses,1042,9,226,416,438,217,103,14,6,0,1
3392,1996,15,158,16,all-offenses,35,0,35,38,40,22,9,4,5,1,0
3393,2015,532,1109,163,all-offenses,426,2,206,472,310,200,143,33,7,3,2
3394,1992,611,458,222,all-offenses,310,1,99,205,119,25,4,3,3,0,522
3395,1995,71,1036,5,all-offenses,57,51,383,233,225,99,37,16,7,4,0
3396,2004,5259,2646,20,all-offenses,62,1,367,2140,2701,1998,479,127,45,4,1
