FIPS Code,State,Area name,Less Than High School %,High School %,Some College %,College or Higher %,Unemployment Rate,Median Income
00000,US,United States,12.7,27.3,29.1,30.9,,
01000,AL,Alabama,14.7,30.9,29.9,24.5,,
01001,AL,Autauga County,12.3,33.6,29.1,25.0,3.9,58343.0
01003,AL,Baldwin County,9.8,27.8,31.7,30.7,4.1,56607.0
01005,AL,Barbour County,26.9,35.5,25.5,12.0,5.8,32490.0
01007,AL,Bibb County,17.9,43.9,25.0,13.2,4.4,45795.0
01009,AL,Blount County,20.2,32.3,34.4,13.1,4.0,48253.0
01011,AL,Bullock County,28.6,36.6,21.4,13.4,4.9,29113.0
01013,AL,Butler County,18.9,40.4,24.5,16.1,5.5,36842.0
01015,AL,Calhoun County,16.8,32.2,33.1,17.9,5.0,45937.0
01017,AL,Chambers County,19.1,38.4,29.1,13.3,4.1,36883.0
01019,AL,Cherokee County,20.5,38.2,28.9,12.5,4.1,44842.0
01021,AL,Chilton County,18.2,43.4,23.3,15.1,4.1,46405.0
01023,AL,Choctaw County,19.9,39.9,28.6,11.6,6.3,36711.0
01025,AL,Clarke County,18.5,44.3,24.2,13.0,8.5,36719.0
01027,AL,Clay County,26.7,33.7,29.3,10.3,4.3,39642.0
01029,AL,Cleburne County,24.2,37.4,26.0,12.4,4.5,45480.0
01031,AL,Coffee County,14.6,29.3,33.4,22.7,4.4,51998.0
01033,AL,Colbert County,16.1,33.7,31.4,18.8,5.2,46100.0
01035,AL,Conecuh County,21.0,48.0,22.3,8.8,6.1,30796.0
01037,AL,Coosa County,23.2,38.5,27.3,11.0,4.7,42442.0
01039,AL,Covington County,18.0,35.6,31.0,15.5,5.2,39093.0
01041,AL,Crenshaw County,20.7,37.8,25.2,16.3,4.5,38419.0
01043,AL,Cullman County,17.9,35.9,31.3,14.9,3.8,45925.0
01045,AL,Dale County,14.0,32.6,36.6,16.8,4.5,42572.0
01047,AL,Dallas County,18.7,36.6,30.5,14.2,7.5,31329.0
01049,AL,DeKalb County,26.4,34.0,26.6,13.0,4.5,39906.0
01051,AL,Elmore County,13.6,34.1,29.5,22.8,3.7,59652.0
01053,AL,Escambia County,19.0,43.8,25.0,12.1,5.0,37870.0
01055,AL,Etowah County,16.9,32.5,33.7,16.9,4.6,41791.0
01057,AL,Fayette County,20.4,37.9,27.1,14.6,4.7,39394.0
01059,AL,Franklin County,23.6,37.5,25.5,13.4,4.3,41025.0
01061,AL,Geneva County,21.0,35.7,32.2,11.1,4.3,38561.0
01063,AL,Greene County,23.4,37.0,28.2,11.4,7.6,28108.0
01065,AL,Hale County,18.9,42.7,23.9,14.4,6.0,34905.0
01067,AL,Henry County,19.4,33.9,29.7,17.1,4.9,48094.0
01069,AL,Houston County,14.7,31.9,32.5,20.9,4.4,44753.0
01071,AL,Jackson County,18.6,40.7,27.3,13.4,4.8,42658.0
01073,AL,Jefferson County,10.6,26.8,30.7,31.9,4.3,50731.0
01075,AL,Lamar County,20.5,37.6,28.7,13.3,4.2,39796.0
01077,AL,Lauderdale County,14.1,35.3,28.1,22.5,4.7,46646.0
01079,AL,Lawrence County,22.0,40.8,27.0,10.2,5.0,42912.0
01081,AL,Lee County,10.1,24.5,30.6,34.9,4.0,51372.0
01083,AL,Limestone County,16.3,30.7,28.5,24.6,4.0,57342.0
01085,AL,Lowndes County,24.0,36.1,26.1,13.7,8.3,33130.0
01087,AL,Macon County,18.4,32.3,29.2,20.1,5.8,30849.0
01089,AL,Madison County,9.2,21.1,29.2,40.6,3.9,62750.0
01091,AL,Marengo County,16.8,39.6,28.1,15.4,5.6,37469.0
01093,AL,Marion County,19.3,35.3,31.9,13.4,4.8,38049.0
01095,AL,Marshall County,20.0,31.3,31.0,17.7,3.9,42751.0
01097,AL,Mobile County,13.7,32.6,30.6,23.0,5.2,45615.0
01099,AL,Monroe County,17.0,46.7,23.8,12.5,6.7,36432.0
01101,AL,Montgomery County,14.3,25.6,27.8,32.3,4.4,45833.0
01103,AL,Morgan County,17.5,29.9,31.8,20.9,4.1,49274.0
01105,AL,Perry County,20.0,42.0,21.1,16.9,7.8,26703.0
01107,AL,Pickens County,20.2,37.8,30.3,11.8,5.4,38379.0
01109,AL,Pike County,18.9,33.0,23.3,24.7,4.9,40680.0
01111,AL,Randolph County,21.4,36.7,27.3,14.6,4.4,41112.0
01113,AL,Russell County,17.1,32.4,33.6,16.9,4.3,36186.0
01115,AL,St. Clair County,15.8,36.2,32.0,16.0,4.0,52755.0
01117,AL,Shelby County,7.9,20.9,28.9,42.2,3.2,74098.0
01119,AL,Sumter County,17.3,39.7,24.7,18.2,6.6,26495.0
01121,AL,Talladega County,19.5,35.1,31.8,13.6,5.0,41733.0
01123,AL,Tallapoosa County,19.2,34.0,28.6,18.2,4.2,44469.0
01125,AL,Tuscaloosa County,11.8,29.4,28.5,30.2,4.2,51644.0
01127,AL,Walker County,20.0,37.3,31.6,11.1,5.1,41925.0
01129,AL,Washington County,17.6,44.8,27.0,10.7,6.8,44249.0
01131,AL,Wilcox County,20.9,43.2,23.9,12.0,11.5,25700.0
01133,AL,Winston County,22.8,36.2,28.1,12.9,5.1,38562.0
02000,AK,Alaska,7.6,27.6,35.8,29.0,,
02010,AK,Aleutian Islands,,,,,,
02013,AK,Aleutians East Borough,14.2,41.6,32.7,11.5,2.5,69375.0
02016,AK,Aleutians West Census Area,11.7,39.1,33.0,16.2,3.7,80290.0
02020,AK,Anchorage Municipality,6.6,23.8,35.0,34.6,,
02050,AK,Bethel Census Area,19.8,44.7,22.9,12.6,13.5,45582.0
02060,AK,Bristol Bay Borough,7.4,34.9,37.4,20.3,6.2,70094.0
02068,AK,Denali Borough,1.3,28.6,25.7,44.5,9.0,73220.0
02070,AK,Dillingham Census Area,13.6,38.7,30.4,17.4,8.9,52641.0
02090,AK,Fairbanks North Star Borough,5.4,21.7,39.8,33.1,6.1,74241.0
02100,AK,Haines Borough,3.4,28.4,33.5,34.7,8.9,53413.0
02105,AK,Hoonah-Angoon Census Area,9.7,37.3,31.1,21.9,12.3,50573.0
02110,AK,Juneau City and Borough,4.0,20.5,35.2,40.3,,
02122,AK,Kenai Peninsula Borough,7.4,31.2,37.2,24.1,8.3,63559.0
02130,AK,Ketchikan Gateway Borough,8.1,30.4,37.4,24.1,6.1,71298.0
02150,AK,Kodiak Island Borough,11.5,28.9,35.5,24.1,5.0,71118.0
02158,AK,Kusilvak Census Area,21.8,52.2,21.1,4.9,19.6,31250.0
02160,AK,Kuskokwim Division,,,,,,
02164,AK,Lake and Peninsula Borough,12.3,45.1,26.6,16.0,11.7,47644.0
02170,AK,Matanuska-Susitna Borough,7.9,32.1,39.4,20.6,8.2,72296.0
02180,AK,Nome Census Area,15.1,43.5,27.4,14.0,12.1,53877.0
02185,AK,North Slope Borough,11.6,40.0,33.1,15.3,7.4,82736.0
02188,AK,Northwest Arctic Borough,19.3,46.4,23.5,10.8,16.2,53060.0
02195,AK,Petersburg Census Area,10.5,29.9,33.1,26.5,,
02198,AK,Prince of Wales-Hyder Census Area,10.0,37.8,35.4,16.8,11.0,46488.0
02201,AK,Prince of Wales-Outer Ketchikan Census Area,,,,,0.0,0.0
02220,AK,Sitka City and Borough,6.5,26.5,34.1,32.9,,
02230,AK,Skagway Municipality,7.6,23.4,36.8,32.2,10.2,66991.0
02231,AK,Skagway-Yakutat-Angoon Census Area,,,,,,
02232,AK,Skagway-Hoonah-Angoon Census Area,,,,,0.0,0.0
02240,AK,Southeast Fairbanks Census Area,8.5,33.1,38.9,19.5,10.2,59382.0
02250,AK,Upper Yukon Division,,,,,,
02261,AK,Valdez-Cordova Census Area,4.1,28.0,35.2,32.7,7.7,86196.0
02275,AK,Wrangell City and Borough,11.0,36.6,32.9,19.4,,
02280,AK,Wrangell-Petersburg Census Area,,,,,0.0,0.0
02282,AK,Yakutat City and Borough,8.1,40.6,31.7,19.6,,
02290,AK,Yukon-Koyukuk Census Area,15.3,41.7,30.6,12.4,17.6,37907.0
04000,AZ,Arizona,13.5,24.2,33.9,28.4,,
04001,AZ,Apache County,21.4,33.0,34.2,11.5,10.3,33053.0
04003,AZ,Cochise County,12.9,23.0,40.5,23.6,5.6,48966.0
04005,AZ,Coconino County,10.3,21.3,32.9,35.4,5.5,54399.0
04007,AZ,Gila County,15.0,27.5,38.5,19.0,6.1,38897.0
04009,AZ,Graham County,14.2,31.3,40.4,14.1,5.4,46378.0
04011,AZ,Greenlee County,10.3,37.0,40.5,12.1,5.0,63557.0
04012,AZ,La Paz County,22.8,37.0,29.0,11.2,5.4,36389.0
04013,AZ,Maricopa County,12.9,22.8,32.9,31.4,4.2,62221.0
04015,AZ,Mohave County,15.3,35.6,36.8,12.3,5.9,42210.0
04017,AZ,Navajo County,17.4,30.0,37.1,15.5,7.7,40883.0
04019,AZ,Pima County,11.8,22.5,34.1,31.6,4.5,51392.0
