ori,state_name,County,FIPS
AL0290600,Alabama,AUTAUGA,01001
AL0040200,Alabama,AUTAUGA,01001
AL0040000,Alabama,AUTAUGA,01001
AL0050300,Alabama,BALDWIN,01003
AL0050400,Alabama,BALDWIN,01003
AL0051300,Alabama,BALDWIN,01003
AL0050100,Alabama,BALDWIN,01003
AL0050200,Alabama,BALDWIN,01003
AL0051100,Alabama,BALDWIN,01003
AL0051200,Alabama,BALDWIN,01003
AL0050000,Alabama,BALDWIN,01003
AL0051000,Alabama,BALDWIN,01003
AL0050900,Alabama,BALDWIN,01003
AL0050700,Alabama,BALDWIN,01003
AL0050800,Alabama,BALDWIN,01003
AL0050500,Alabama,BALDWIN,01003
AL0050600,Alabama,BALDWIN,01003
AL0060100,Alabama,BARBOUR,01005
AL0060200,Alabama,BARBOUR,01005
AL0060000,Alabama,BARBOUR,01005
AL0060700,Alabama,BARBOUR,01005
AL0060300,Alabama,BARBOUR,01005
AL0060400,Alabama,BARBOUR,01005
AL0070000,Alabama,BIBB,01007
AL0630700,Alabama,BIBB,01007
AL0070300,Alabama,BIBB,01007
AL0070100,Alabama,BIBB,01007
AL0070200,Alabama,BIBB,01007
AL0080500,Alabama,BLOUNT,01009
AL0080300,Alabama,BLOUNT,01009
AL0080400,Alabama,BLOUNT,01009
AL0080100,Alabama,BLOUNT,01009
AL0080200,Alabama,BLOUNT,01009
AL0080000,Alabama,BLOUNT,01009
AL0310900,Alabama,BLOUNT,01009
AL0090100,Alabama,BULLOCK,01011
AL0090000,Alabama,BULLOCK,01011
AL0100100,Alabama,BUTLER,01013
AL0100000,Alabama,BUTLER,01013
AL0100200,Alabama,BUTLER,01013
AL0110800,Alabama,CALHOUN,01015
AL0310400,Alabama,CALHOUN,01015
AL0110000,Alabama,CALHOUN,01015
AL0110100,Alabama,CALHOUN,01015
AL0310700,Alabama,CALHOUN,01015
AL0110200,Alabama,CALHOUN,01015
AL0110300,Alabama,CALHOUN,01015
AL0110400,Alabama,CALHOUN,01015
AL0110600,Alabama,CALHOUN,01015
AL0110700,Alabama,CALHOUN,01015
AL0120000,Alabama,CHAMBERS,01017
AL0120100,Alabama,CHAMBERS,01017
AL0120200,Alabama,CHAMBERS,01017
AL0120400,Alabama,CHAMBERS,01017
AL0130000,Alabama,CHEROKEE,01019
AL0130100,Alabama,CHEROKEE,01019
AL0280200,Alabama,CHEROKEE,01019
AL0130200,Alabama,CHEROKEE,01019
AL0130300,Alabama,CHEROKEE,01019
AL0140200,Alabama,CHILTON,01021
AL0140300,Alabama,CHILTON,01021
AL0140400,Alabama,CHILTON,01021
AL0590100,Alabama,CHILTON,01021
AL0140000,Alabama,CHILTON,01021
