FIPS,Pop Per Sq Mile
01001,91.8
01003,114.6
01005,31
01007,36.8
01009,88.9
01011,17.5
01013,27
01015,195.7
01017,57.4
01019,46.9
01021,63
01023,15.2
01025,20.9
01027,23.1
01029,26.7
01031,73.6
01033,91.8
01035,15.6
01037,17.7
01039,36.6
01041,22.8
01043,109.4
01045,89.6
01047,44.8
01049,91.5
01051,128.2
01053,40.5
01055,195.2
01057,27.5
01059,50
01061,46.6
01063,14
01065,24.5
01067,30.8
01069,175.1
01071,49.4
01073,592.5
01075,24.1
01077,138.8
01079,49.7
01081,230.8
01083,147.8
01085,15.8
01087,35.2
01089,417.7
01091,21.5
01093,41.5
01095,164.4
01097,335.9
01099,22.5
01101,292.5
01103,206.3
01105,14.7
01107,22.4
01109,48.9
01111,39.5
01113,82.6
01115,132.3
01117,248.5
01119,15.2
01121,111.7
01123,58.1
01125,147.3
01127,84.7
01129,16.3
01131,13.1
01133,39.9
02,1.2
02013,0.4
02016,1.3
02020,171.2
02050,0.4
02060,2
02068,0.1
02070,0.3
02090,13.3
02100,1.1
02105,0.3
02110,11.6
02122,3.4
02130,2.8
02150,2.1
02164,0.1
02170,3.6
02180,0.4
02185,0.1
02188,0.2
02195,1.2
02198,1.4
02220,3.1
02230,2.1
02240,0.3
02261,0.3
02270,0.4
02275,0.9
02282,0.1
02290,0
04,56.3
04001,6.4
04003,21.3
04005,7.2
04007,11.3
04009,8.1
04011,4.6
04012,4.6
04013,414.9
04015,15
04017,10.8
04019,106.7
04021,70
04023,38.3
04025,26
04027,35.5
05,56
05001,19.2
05003,23.6
05005,74.9
05007,261.2
05009,62.5
05011,17.7
05013,8.5
05015,43.6
05017,18.3
05019,26.6
05021,25.2
05023,46.9
05025,14.5
05027,32.1
05029,38.5
05031,136.4
05033,104.4
05035,83.5
05037,29
05039,12.2
05041,16.9
05043,22.3
05045,174.8
05047,29.8
05049,19.8
05051,141.7
05053,28.3
05055,72.9
05057,31.1
05059,53.5
05061,23.4
05063,48
05065,23.6
05067,28.4
05069,88.9
05071,38.7
05073,14.5
05075,29.6
05077,17.3
05079,25.2
05081,24.7
05083,31.6
05085,88.7
05087,18.8
05089,27.9
05091,69.5
05093,51.6
05095,13.4
05097,12.2
05099,14.6
05101,10.1
05103,35.6
05105,18.9
05107,31.3
05109,18.8
05111,32.4
05113,24.1
05115,76
05117,13.4
05119,503.8
05121,27.6
05123,44.5
05125,148
05127,12.6
05129,12.3
05131,236.4
05133,30.2
05135,28.6
05137,20.4
05139,40.1
05141,24.4
05143,215.6
05145,74.5
05147,12.4
05149,23.9
06,239.1
06001,2043.6
06003,1.6
06005,64.1
06007,134.4
06009,44.7
06011,18.6
06013,1465.2
06015,28.4
06017,106
06019,156.2
06021,21.4
06023,37.7
06025,41.8
06027,1.8
06029,103.3
06031,110.1
06033,51.5
06035,7.7
06037,2419.6
06039,70.6
06041,485.1
06043,12.6
06045,25.1
06047,132.2
06049,2.5
06051,4.7
06053,126.5
06055,182.4
06057,103.1
06059,3807.7
06061,247.6
06063,7.8
06065,303.8
06067,1470.8
06069,39.8
06071,101.5
06073,735.8
06075,17179.2
06077,492.6
06079,81.7
06081,1602.2
06083,155
06085,1381
06087,589.4
06089,46.9
06091,3.4
06093,7.2
06095,503
06097,307.1
06099,344.2
06101,157.3
06103,21.5
06105,4.3
06107,91.7
06109,24.9
06111,446.7
06113,197.9
06115,114.2
08,48.5
08001,378.2
08003,21.4
08005,716.7
08007,8.9
08009,1.5
08011,4.3
08013,405.6
08014,1691.9
08015,17.6
08017,1
08019,23
08021,6.4
08023,2.9
08025,7.4
08027,5.8
08029,27.1
08031,3922.6
08033,1.9
08035,339.7
08037,31
08039,12.5
08041,292.6
08043,30.5
08045,19.1
08047,36.3
08049,8
08051,4.7
08053,0.8
08055,4.2
08057,0.9
08059,699.5
08061,0.8
08063,3.8
08065,19.4
08067,30.3
08069,115.4
08071,3.2
08073,2.1
08075,12.4
08077,44.1
08079,0.8
08081,2.9
08083,12.6
08085,18.4
08087,22
08089,14.9
08091,8.2
08093,7.4
08095,6.5
08097,17.7
08099,7.7
08101,66.7
08103,2.1
08105,13.1
08107,10
08109,1.9
08111,1.8
08113,5.7
08115,4.3
08117,46
08119,41.9
08121,1.9
08123,63.4
08125,4.2
09,738.1
09001,1467.2
09003,1216.2
09005,206.3
09007,448.6
09009,1426.7
09011,412.2
09013,372.2
09015,230.9
010,460.8
10001,276.9
10003,1263.2
10005,210.6
011,9856.5
11001,9856.5
012,350.6
12001,282.7
12003,46.3
12005,222.6
12007,97
12009,535
12011,1444.9
12013,25.8
12015,235.2
12017,242.8
12019,315.8
12021,160.9
12023,84.7
12027,54.7
12029,23.3
12031,1133.9
12033,453.4
12035,197.1
12037,21.6
12039,89.8
12041,48.4
12043,16
12045,28.1
12047,28.8
12049,43.5
12051,34
12053,365.6
12055,97.2
12057,1204.9
12059,41.6
12061,274.5
12063,54.2
12065,24.7
12067,16.3
12069,316.6
12071,788.7
12073,413.1
12075,36.5
12077,10
12079,27.6
12081,434.5
12083,209.1
12085,269.2
12086,1315.5
12087,74.3
12089,113
12091,194.4
12093,52
12095,1268.5
12097,202.4
12099,670.2
12101,622.2
12103,3347.5
12105,334.9
12107,102.2
12109,316.4
12111,485.7
12113,149.6
12115,682.6
12117,1367
12119,170.8
12121,60.3
12123,21.6
12125,63.8
12127,449.2
12129,50.8
12131,53
12133,42.7
013,168.4
13001,36
13003,24.7
13005,42.9
13007,10.1
13009,177.3
13011,79.3
13013,432.7
13015,217.9
13017,70.5
13019,42.7
13021,622.8
13023,60.5
13025,41.6
13027,32.9
13029,69.3
13031,104.4
13033,28.2
13035,128.3
13037,23.9
13039,82.4
13043,45.3
13045,221.5
13047,394.3
13049,15.7
13051,621.7
13053,45.3
13055,83
13057,508.3
13059,979.1
13061,16.3
13063,1832.5
13065,8.5
13067,2026.4
13069,73.7
13071,83.6
13073,427.6
13075,75.8
13077,288.8
13079,38.9
13081,86
13083,95.6
13085,105.9
13087,46.6
13089,2585.7
13091,44
13093,38.1
13095,287.7
13097,661.8
13099,21.5
13101,9.7
13103,109.4
13105,57.4
13107,33.2
13109,60.2
13111,61.2
13113,548.3
13115,188.9
13117,783.5
13119,84.5
13121,1748
13123,66.3
13125,21.4
13127,189.7
13129,155.1
13131,55
13133,41.3
13135,1871.2
13137,155.5
13139,457.5
13141,20
13143,102
13145,69
13147,108.5
13149,40
13151,633
13153,372.5
13155,26.9
13157,178.1
13159,37.8
13161,45.6
13163,32.2
13165,24
13167,32.9
13169,72.8
13171,99.8
13173,54.4
