agency_name,agency_type_name,county_name,division_name,latitude,longitude,nibrs,nibrs_start_date,ori,region_desc,region_name,state_abbr,state_name
Hawaii Police Department County Sheriff's Office,County,HAWAII,Pacific,19.716698,-155.08688,FALSE,,HI0010000,Region IV,West,HI,Hawaii
Maui Police Department County Sheriff's Office,County,MAUI,Pacific,20.887321,-156.48763,FALSE,,HI0050000,Region IV,West,HI,Hawaii
Honolulu Police Department,City,HONOLULU,Pacific,21.304317,-157.85077,TRUE,1/1/2018,HI0020000,Region IV,West,HI,Hawaii
Kauai Police Department County Sheriff's Office,County,KAUAI,Pacific,22.012038,-159.705965,FALSE,,HI0040000,Region IV,West,HI,Hawaii
Milford Police Department,City,KENT; SUSSEX,South Atlantic,38.91612,-75.42161,TRUE,1/1/2001,DE0030500,Region III,South,DE,Delaware
Laurel Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,TRUE,1/1/2001,DE0030300,Region III,South,DE,Delaware
Dover Fire Marshal,Other,KENT,South Atlantic,,,TRUE,1/1/2013,DE0011900,Region III,South,DE,Delaware
Bridgeville Police Department,City,SUSSEX,South Atlantic,38.744175,-75.599144,TRUE,1/1/2001,DE0030100,Region III,South,DE,Delaware
Dewey Beach Police Department,City,SUSSEX,South Atlantic,38.709568,-75.078224,TRUE,1/1/2001,DE0032400,Region III,South,DE,Delaware
Blades Police Department,City,SUSSEX,South Atlantic,38.633743,-75.6098,TRUE,1/1/2001,DE0030900,Region III,South,DE,Delaware
Environmental Control,Other State Agency,KENT,South Atlantic,39.164383,-75.51842,TRUE,1/1/2001,DE0011700,Region III,South,DE,Delaware
State Police: Kent County,State Police,KENT,South Atlantic,39.097088,-75.502982,TRUE,1/1/2001,DE301SP00,Region III,South,DE,Delaware
Rehoboth Beach Police Department,City,SUSSEX,South Atlantic,38.715996,-75.08348,TRUE,1/1/2001,DE0030700,Region III,South,DE,Delaware
Elsmere Police Department,City,NEW CASTLE,South Atlantic,39.739624,-75.60179,TRUE,1/1/2001,DE0020700,Region III,South,DE,Delaware
Delaware City Police Department,City,NEW CASTLE,South Atlantic,39.57391,-75.59376,TRUE,1/1/2001,DE0020900,Region III,South,DE,Delaware
Delaware State University,University or College,KENT,South Atlantic,39.097088,-75.502982,TRUE,8/1/2004,DE0013200,Region III,South,DE,Delaware
River and Bay Authority,Other State Agency,NEW CASTLE,South Atlantic,39.575915,-75.644132,TRUE,1/1/2001,DE0020100,Region III,South,DE,Delaware
New Castle County Police Department,County,NEW CASTLE,South Atlantic,39.707096,-75.56667,TRUE,1/1/2001,DE0020300,Region III,South,DE,Delaware
Wilmington Fire Department,Other,NEW CASTLE,South Atlantic,39.73873,-75.548965,TRUE,1/1/2001,DE0022600,Region III,South,DE,Delaware
Newark Police Department,City,NEW CASTLE,South Atlantic,39.575915,-75.644132,TRUE,1/1/2001,DE0020500,Region III,South,DE,Delaware
South Bethany Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,TRUE,1/1/2001,DE0031800,Region III,South,DE,Delaware
Frederica Police Department,City,KENT,South Atlantic,39.097088,-75.502982,TRUE,11/1/2002,DE0010800,Region III,South,DE,Delaware
State Police,State Police,,South Atlantic,39.156284,-75.486595,TRUE,8/1/2010,DEDSP0000,Region III,South,DE,Delaware
Bethany Beach Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,TRUE,1/1/2001,DE0031000,Region III,South,DE,Delaware
Amtrak Police,Other,NEW CASTLE,South Atlantic,,,TRUE,1/1/2001,DE002159E,Region III,South,DE,Delaware
Harrington Police Department,City,KENT,South Atlantic,38.924095,-75.57957,TRUE,1/1/2001,DE0010200,Region III,South,DE,Delaware
Fenwick Island Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,TRUE,1/1/2001,DE0031200,Region III,South,DE,Delaware
Greenwood Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,TRUE,1/1/2001,DE0031400,Region III,South,DE,Delaware
Park Rangers,Other State Agency,KENT,South Atlantic,39.097088,-75.502982,TRUE,1/1/2001,DE0012300,Region III,South,DE,Delaware
Clayton Police Department,City,KENT,South Atlantic,39.097088,-75.502982,TRUE,1/1/2001,DE0010600,Region III,South,DE,Delaware
Animal Welfare:,Other State Agency,KENT,South Atlantic,,,TRUE,9/1/2015,DE001500X,Region III,South,DE,Delaware
Selbyville Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,TRUE,1/1/2001,DE0031600,Region III,South,DE,Delaware
Camden Police Department,City,KENT,South Atlantic,39.11345,-75.54225,TRUE,1/1/2001,DE0010400,Region III,South,DE,Delaware
Alcohol and Tobacco Enforcement,Other State Agency,NEW CASTLE,South Atlantic,39.575915,-75.644132,TRUE,1/1/2013,DE0021600,Region III,South,DE,Delaware
Lewes Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,TRUE,1/1/2001,DE0030400,Region III,South,DE,Delaware
Delmar Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,TRUE,1/1/2001,DE0030200,Region III,South,DE,Delaware
Attorney General: Sussex County,Other State Agency,SUSSEX,South Atlantic,38.690628,-75.385086,TRUE,1/1/2001,DE003350X,Region III,South,DE,Delaware
Animal Welfare:,Other State Agency,SUSSEX,South Atlantic,,,TRUE,12/1/2015,DE003500X,Region III,South,DE,Delaware
Viola Police Department,City,KENT,South Atlantic,,,TRUE,7/1/2013,DE0013300,Region III,South,DE,Delaware
State Capitol Police,Other State Agency,KENT,South Atlantic,39.097088,-75.502982,TRUE,1/1/2001,DE0011800,Region III,South,DE,Delaware
